 , , , , , ,1, ,4.80790901184
 ,1, , , , , , ,3.1775560379
 , , , ,1, , , ,5.58553409576
 , , ,1, ,0, , ,2.7924349308
 , ,1, , , , , ,1.80165696144
 , , ,1, , , , ,2.48912787437
 , , , , , , ,1,1.96967887878
1, , , , , , , ,2.06541490555
 , ,1, , , , , ,2.11315011978
 , , , , , ,1, ,2.10509896278
 ,1, , , , , , ,2.14506196976
 , , ,1, ,0, , ,3.12908601761
 , , ,1, , , , ,2.45766496658
 , , , , , , ,1,1.0012280941
0, , , , , , ,1,5.94421100616
 , , , ,1, , , ,3.64196300507
 , , ,1, ,0, , ,4.89651298523
 , , ,1, , , , ,2.02521705627
 , , , , , , ,1,2.11294293404
 ,1, , , , , , ,2.5536699295
 , ,1, , , , , ,2.17690396309
1, , , , , , , ,2.27346992493
 , , , , , ,1, ,2.24831795692
 , , , ,1, , , ,4.00934815407
 ,1, , , , , , ,3.19264101982
 , , , ,1, , , ,3.08901691437
 , ,1, , , , , ,2.67390489578
 , , , , , ,1, ,2.19427585602
1, , , , , , , ,4.36167597771
 , , ,1, , , , ,5.04052591324
 , , ,1, ,0, , ,4.28909492493
 , , , , , , ,1,2.47362518311
 , , , , ,1, , ,4.44069695473
 , ,1, , , , , ,2.68993782997
 , , , , , , ,1,2.6006398201
 ,1, ,0, , , , ,2.36863207817
1, , , ,0, , , ,3.25743508339
1, , , , , , , ,1.96097803116
 ,0, , , ,1, , ,3.53687095642
 , , , , , ,1, ,1.80927610397
 , ,1, , , , , ,2.26516604424
 , , , ,1, , , ,3.56901502609
 , , ,1, , , , ,2.63329195976
 ,1, , , , , , ,2.80098390579
1, , , , , , , ,2.0251789093
 , , , , , ,1, ,1.59320211411
 , , ,1, ,0, , ,1.94529891014
 , , , , , , ,1,1.52080082893
 , , ,1, ,0, , ,3.85702204704
 ,1, , , , , , ,1.48941302299
 , ,1, , , , , ,1.79313802719
 , , , , , ,1, ,1.60091900826
 , , , , , , ,1,1.6408867836
1, , , , , , , ,2.0732049942
1, , , ,0, , , ,1.69736003876
 , , ,1, , , , ,3.28937697411
1, , , , , , , ,1.47299408913
 , ,1, , , , , ,5.12154388428
 , , , ,1, , , ,3.29716396332
 , , , , , , ,1,1.57659292221
 , , ,1, , , , ,1.56126785278
 , , , , , ,1, ,1.67319393158
 ,1, , , , , , ,1.91338896751
 , , ,1, ,0, , ,2.8014061451
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
 , , , , , , , , 
